Phyllida Meacham
Phyllis Mcgowan
Pierre Paulin
Piers Ottey
Piet Mondrian
Pietro Annigoni
Piotr Potworowski
PJ Crook
Polly Hope
Poppy Baines
Poppy Field
Qu Lei Lei 
Rachael Woodman
Rachel Nicholson
Raf Zawistowski
Ralph Maynard Smith
Ralph Rumney
Raoul Millais
Raphael Barratt
Raymond Booth
Raymond Depardon
Raymond Jackson (JAK)
Raza 
Rebecca Ackroyd
Rebecca Bower
Rebecca Campbell
Rebecca Fontaine-Wolf
Rebecca Harper
Rebecca Jewell
Rebecca Newnham
Rebecca Willing
Reginald Cartwright
René Basset
René Burri
René-Jacques
Reynolds Stone
Reza
Rhoda Vava Mary Lecky Pike
Rich Simmons
Richard Allen
Richard Carline
Richard Cartwright
Richard Cole
Richard Cook
Richard Eurich
Richard Forster
Richard Foster
Richard Harrison
Richard Hawkins
Richard Lin
Richard Murry
Richard Prentice
Richard Price
Richard Robbins
Richard Scott
Richard Shirley Smith
Richard Slee
Richard Sorrell
Rischka
Rob & Nick Carter
Rob Carter
Rob Hefferan
Robby O'Keeffe
Robert A Ireland
Robert Arthur Wilson
Robert Buhler
Robert Burkall Marsh
Robert Capa
Robert Duckworth Greenham
Robert E Fuller
Robert E. Wells
Robert Freeman
Robert Gibbings
Robert Hallmann
Robert Hardy
Robert Hunt
Robert Lenkiewicz
Robert Meldrum
Robert Sivell
Robert Tyndall
Robin Brooks
Robin Charles Ball
Robin Darwin
Robin Ironside
Robin Rae
Rod Clark
Rodney Joseph Burn
Rodrigo Moynihan
Roger Picard
Roger Wagner
Roisin Jones
Roland Collins
Roland Penrose
Ron Waddams
Ros Burgin
Rosa Allison
Rose Corcoran
Rosemary Strachey
Rosie Dowd-Smyth
Rosie Emerson
Rowan Mersh
Rowland Hilder
Rowland Hill
Rowland Wheelwright
Roy Ellis
Roy Freer
Roy Nockolds
Roy Turner Durrant
Roya Bahram
Royston du Maurier-Lebek
Rudolf Kortokraks
Rudolph Ihlee
Rufus Martin
Ruskin Spear
Ruth Addinall
Ruth Simpson
Ruud van Empel
